HC7,HC9,HC11,HC12,HC13,HC14,HC15,HC16,HC21,HC23,HC24,HC26,HC27,HC29,HC30,HC33,HC35,HC38,HC40,HC41,HC42,HC43,HC44,HC46,HC47
78,56,58,60,60,62,62,57,64,58,65,62,76,54,70,63,65,50,71,66,70,68,68,62,65
73,51,53,57,64,67,66,64,60,53,60,66,69,59,71,58,65,57,64,64,66,61,72,58,60
70,60,62,65,62,69,69,61,56,65,67,64,71,58,73,55,64,66,68,63,61,65,70,62,67
73,56,63,62,64,71,74,62,65,63,60,67,73,59,75,56,64,67,69,61,71,68,73,63,69
70,63,55,58,67,72,71,69,61,51,70,66,69,61,73,58,62,55,61,61,66,70,72,60,65
66,60,58,67,65,71,67,66,56,67,69,64,66,63,71,58,64,59,64,59,63,66,70,63,70
70,72,65,64,64,69,66,64,67,65,67,62,66,64,70,62,67,61,63,57,68,63,63,65,72
61,63,57,60,62,66,64,71,63,56,64,61,64,66,68,65,67,57,59,61,61,60,70,60,60
65,58,60,72,59,62,61,68,67,60,60,64,68,58,65,58,64,64,66,57,65,63,67,57,64
66.12,64.96,64.00,68.72,60.30,64.59,62.36,66.78,67.68,60.32,64.72,66.96,59.84,66.24,59.96,67.30,57.74,66.20,68.04,65.19,60.04,67.16,63.00,66.44,57.74
